Index: 216, SMILES: Cc1nc(C)c(C)o1, Num Nodes: 8, Num Edges: 16
Index: 217, SMILES: C=C(C)C1CCC(C)C(OC(C)=O)C1, Num Nodes: 14, Num Edges: 28
Index: 218, SMILES: CC(C)=CCCC(C)(O)C1CC=C(C)CC1, Num Nodes: 16, Num Edges: 32
Index: 219, SMILES: C=CCOC(=O)CCCCC, Num Nodes: 11, Num Edges: 20
Index: 220, SMILES: CCCCCCCC(=O)OCC, Num Nodes: 12, Num Edges: 22
Index: 221, SMILES: O=Cc1ccc(O)cc1, Num Nodes: 9, Num Edges: 18
Index: 222, SMILES: CCCCCC(OCC)OCC, Num Nodes: 12, Num Edges: 22
Index: 223, SMILES: CCCCCC1=CC(=O)CCC1, Num Nodes: 12, Num Edges: 24
Index: 224, SMILES: CCCCCCCCCCOC(=O)CC, Num Nodes: 15, Num Edges: 28
Index: 225, SMILES: CCCCCCCC(O)CCCC(=O)OCC(O)CO, Num Nodes: 20, Num Edges: 38
Index: 226, SMILES: O=C1CCC2CCCCC2O1, Num Nodes: 11, Num Edges: 24
Index: 227, SMILES: CC(=O)C1=NCCS1, Num Nodes: 8, Num Edges: 16
Index: 228, SMILES: CC1=CCC2CC1C2(C)C, Num Nodes: 10, Num Edges: 22
Index: 229, SMILES: CC(C)=CCCC(C)CCO, Num Nodes: 11, Num Edges: 20
Index: 230, SMILES: CCC=CCCC=CCO, Num Nodes: 10, Num Edges: 18
Index: 231, SMILES: CCCCCc1cccc(=O)o1, Num Nodes: 12, Num Edges: 24
Index: 232, SMILES: COc1nccnc1C(C)C, Num Nodes: 11, Num Edges: 22
Index: 233, SMILES: CC=CCCC1CCCC(=O)O1, Num Nodes: 12, Num Edges: 24
Index: 234, SMILES: CCCCCCCCCC(C)C=O, Num Nodes: 13, Num Edges: 24
Index: 235, SMILES: C=CC(O)CCCCCCC, Num Nodes: 11, Num Edges: 20
Index: 236, SMILES: CCCCCCCOC(=O)C(C)C, Num Nodes: 13, Num Edges: 24
Index: 237, SMILES: CC(C)CCOC(CC(C)C)OCC(C)C, Num Nodes: 16, Num Edges: 30
Index: 238, SMILES: CCCCCCCCCCCC(=O)OCCC(C)C, Num Nodes: 19, Num Edges: 36
Index: 239, SMILES: O=Cc1cc2ccccc2o1, Num Nodes: 11, Num Edges: 24
Index: 240, SMILES: CC(=O)OCC1CCCO1, Num Nodes: 10, Num Edges: 20
Index: 241, SMILES: CCCCCCCCC(=O)OCCCCC, Num Nodes: 16, Num Edges: 30
Index: 242, SMILES: CCC(C)C(=O)OC, Num Nodes: 8, Num Edges: 14
Index: 243, SMILES: CC1=CCC(C(C)CC2CCCC2=O)CC1, Num Nodes: 16, Num Edges: 34
Index: 244, SMILES: CC=CC(=O)C(C)=C(C)C(C)C, Num Nodes: 12, Num Edges: 22
Index: 245, SMILES: CC(=O)OCC=C(C)CCC=C(C)CCC=C(C)C, Num Nodes: 19, Num Edges: 36
Index: 246, SMILES: CCCCCCC1CCCC(=O)O1, Num Nodes: 13, Num Edges: 26
Index: 247, SMILES: CCC=CCC1CCCC1=O, Num Nodes: 11, Num Edges: 22
Index: 248, SMILES: CCCCCC(O)CCCC(=O)OCC(O)CO, Num Nodes: 18, Num Edges: 34
Index: 249, SMILES: CCC=CCC(=O)OCC, Num Nodes: 10, Num Edges: 18
Index: 250, SMILES: CCC=CCCCC(=O)OC, Num Nodes: 11, Num Edges: 20
Index: 251, SMILES: CCCCCC=CC(=O)OC, Num Nodes: 11, Num Edges: 20
Index: 252, SMILES: CC=CC=CCOC(C)=O, Num Nodes: 10, Num Edges: 18
Index: 253, SMILES: Cc1ccc(C(C)O)cc1, Num Nodes: 10, Num Edges: 20
Index: 254, SMILES: CCOC(CC(C)C)OCCC(C)C, Num Nodes: 14, Num Edges: 26
Index: 255, SMILES: C=C(C)C1CC=C(C)C(OC(C)=O)C1, Num Nodes: 14, Num Edges: 28
Index: 256, SMILES: CCOC(=O)C1OC1(C)c1ccc(C)cc1, Num Nodes: 16, Num Edges: 34
Index: 257, SMILES: CCC(=O)OC1CC2(C)CCC1C2(C)C, Num Nodes: 15, Num Edges: 32
Index: 258, SMILES: CCCCCC1CCC(=O)O1, Num Nodes: 11, Num Edges: 22
Index: 259, SMILES: O=C(O)Cc1ccccc1, Num Nodes: 10, Num Edges: 20
Index: 260, SMILES: O=C(O)C(=O)Cc1ccccc1, Num Nodes: 12, Num Edges: 24
Index: 261, SMILES: CC(C)=CCCC(C)=CCOC(=O)C(C)C, Num Nodes: 16, Num Edges: 30
Index: 262, SMILES: CSC, Num Nodes: 3, Num Edges: 4
Index: 263, SMILES: C=CC(O)CCCCCC, Num Nodes: 10, Num Edges: 18
Index: 264, SMILES: CC=CC(=O)CCCC, Num Nodes: 9, Num Edges: 16
Index: 265, SMILES: CC(C)OC(=O)Cc1ccccc1, Num Nodes: 13, Num Edges: 26
Index: 266, SMILES: CCCCCCC1CCOC1=O, Num Nodes: 12, Num Edges: 24
Index: 267, SMILES: CCOC(=O)CCC(C)=O, Num Nodes: 10, Num Edges: 18
Index: 268, SMILES: CCCCCCCCCCCCCC(=O)O, Num Nodes: 16, Num Edges: 30
Index: 269, SMILES: CCCC=CCO, Num Nodes: 7, Num Edges: 12
Index: 270, SMILES: CCC(=O)CSC, Num Nodes: 7, Num Edges: 12
Index: 271, SMILES: CCCOC(C)OCCC, Num Nodes: 10, Num Edges: 18
Index: 272, SMILES: CCOC(CC(C)C)OCC(C)C, Num Nodes: 13, Num Edges: 24
Index: 273, SMILES: CCCCCCC1C=CC(=O)O1, Num Nodes: 12, Num Edges: 24
Index: 274, SMILES: CCC1C=CC(=O)O1, Num Nodes: 8, Num Edges: 16
Index: 275, SMILES: CSc1cnccn1, Num Nodes: 8, Num Edges: 16
Index: 276, SMILES: CC(C)=CCOC(=O)C(C)C, Num Nodes: 11, Num Edges: 20
Index: 277, SMILES: CC(C)=CCC=C(C)CCOC(=O)CC(C)C, Num Nodes: 17, Num Edges: 32
Index: 278, SMILES: Cc1cnc(C)c(C)n1, Num Nodes: 9, Num Edges: 18
Index: 279, SMILES: CCCCCCCCOC(=O)CC(C)C, Num Nodes: 15, Num Edges: 28
Index: 280, SMILES: CCCC(=O)OC(C)CCC, Num Nodes: 11, Num Edges: 20
Index: 281, SMILES: C=CC(O)CC, Num Nodes: 6, Num Edges: 10
Index: 282, SMILES: CC=C(C)C=O, Num Nodes: 6, Num Edges: 10
Index: 283, SMILES: C=C1CCCC(C)(C)C1C(=O)C=CC, Num Nodes: 14, Num Edges: 28
Index: 284, SMILES: CCCC1CCCC(=O)O1, Num Nodes: 10, Num Edges: 20
Index: 285, SMILES: CCCCCC=CCC1CCCC1=O, Num Nodes: 14, Num Edges: 28
Index: 286, SMILES: CCC=CCCC(OCC)OCC, Num Nodes: 13, Num Edges: 24
Index: 287, SMILES: CCC(C)CCCC(C)C=O, Num Nodes: 11, Num Edges: 20
Index: 288, SMILES: CCC1CCC(=O)O1, Num Nodes: 8, Num Edges: 16
Index: 289, SMILES: CCCCCCOC(C)OCC, Num Nodes: 12, Num Edges: 22
Index: 290, SMILES: CC=C(C)C(=O)OCC(C)C, Num Nodes: 11, Num Edges: 20
Index: 291, SMILES: CCCCOC(=O)CC(C)C, Num Nodes: 11, Num Edges: 20
Index: 292, SMILES: CCC=CCC=O, Num Nodes: 7, Num Edges: 12
Index: 293, SMILES: CC=C(C)CO, Num Nodes: 6, Num Edges: 10
Index: 294, SMILES: CC(C)C=C(C=O)c1ccccc1, Num Nodes: 13, Num Edges: 26
Index: 295, SMILES: CCC(=O)OCC1CCCO1, Num Nodes: 11, Num Edges: 22
